topic-00	topic-01	topic-02	topic-03	topic-04
32436.601161956787	32436.601161956787	32436.601161956787	32436.601161956787	32436.601161956787
32841.16458892822	32841.16458892822	32739.383220672607	32739.383220672607	32739.383220672607
33246.222734451294	33246.222734451294	33246.222734451294	33144.49620246887	33144.49620246887
33649.18279647827	33649.18279647827	33649.18279647827	33649.18279647827	33649.18279647827
34052.32810974121	34052.32810974121	34052.32810974121	34052.32810974121	33951.27320289612
34456.446170806885	34456.446170806885	34456.446170806885	34355.61752319336	34355.61752319336
34858.510971069336	34858.510971069336	34757.819175720215	34757.819175720215	34757.819175720215
35262.00032234192	35262.00032234192	35161.27967834473	35161.27967834473	35161.27967834473
35567.18373298645	35567.18373298645	35567.18373298645	35567.18373298645	35567.18373298645
35971.553325653076	35971.553325653076	35971.553325653076	35971.553325653076	35971.553325653076
36374.409437179565	36374.409437179565	36374.409437179565	36374.409437179565	36374.409437179565
36778.337478637695	36778.337478637695	36778.337478637695	36778.337478637695	36778.337478637695
37184.48734283447	37184.48734283447	37184.48734283447	37184.48734283447	37184.48734283447
37589.99013900757	37589.99013900757	37589.99013900757	37589.99013900757	37589.99013900757
37994.8992729187	37994.8992729187	37994.8992729187	37994.8992729187	37994.8992729187
38399.39188957214	38399.39188957214	38399.39188957214	38399.39188957214	38399.39188957214
38805.87339401245	38805.87339401245	38805.87339401245	38805.87339401245	38805.87339401245
39208.956718444824	39208.956718444824	39208.956718444824	39208.956718444824	39208.956718444824
39613.25764656067	39613.25764656067	39613.25764656067	39613.25764656067	39613.25764656067
40018.837451934814	40018.837451934814	40018.837451934814	40018.837451934814	40018.837451934814
40424.219369888306	40424.219369888306	40424.219369888306	40424.219369888306	40424.219369888306
40828.02486419678	40828.02486419678	40828.02486419678	40828.02486419678	40828.02486419678
41234.474658966064	41234.474658966064	41234.474658966064	41234.474658966064	41234.474658966064
41636.07311248779	41636.07311248779	41636.07311248779	41636.07311248779	41636.07311248779
42041.51129722595	42041.51129722595	42041.51129722595	41939.78428840637	41939.78428840637
42445.92261314392	42445.92261314392	42445.92261314392	42445.92261314392	42445.92261314392
42850.44288635254	42850.44288635254	42850.44288635254	42850.44288635254	42850.44288635254
43253.80730628967	43253.80730628967	43253.80730628967	43253.80730628967	43253.80730628967
43657.249450683594	43657.249450683594	43657.249450683594	43657.249450683594	43657.249450683594
44061.421155929565	44061.421155929565	44061.421155929565	44061.421155929565	44061.421155929565
44465.65318107605	44465.65318107605	44465.65318107605	44465.65318107605	44465.65318107605
44870.346546173096	44870.346546173096	44870.346546173096	44870.346546173096	44769.61088180542
45272.75538444519	45272.75538444519	45172.218799591064	45172.218799591064	45172.218799591064
45676.854610443115	45676.854610443115	45575.0458240509	45575.0458240509	45575.0458240509
46082.25083351135	46082.25083351135	45981.605768203735	45981.605768203735	45981.605768203735
46384.70482826233	46384.70482826233	46384.70482826233	46384.70482826233	46384.70482826233
46787.43815422058	46787.43815422058	46787.43815422058	46787.43815422058	46787.43815422058
47191.33973121643	47191.33973121643	47191.33973121643	47191.33973121643	47191.33973121643
47594.3865776062	47594.3865776062	47594.3865776062	47594.3865776062	47594.3865776062
47998.621463775635	47998.621463775635	47998.621463775635	47998.621463775635	47998.621463775635
48402.87256240845	48402.87256240845	48402.87256240845	48402.87256240845	48402.87256240845
48807.17611312866	48807.17611312866	48807.17611312866	48807.17611312866	48807.17611312866
49210.98494529724	49210.98494529724	49210.98494529724	49210.98494529724	49210.98494529724
49615.617752075195	49615.617752075195	49615.617752075195	49615.617752075195	49615.617752075195
50021.73614501953	50021.73614501953	50021.73614501953	50021.73614501953	50021.73614501953
50424.8309135437	50424.8309135437	50424.8309135437	50424.8309135437	50424.8309135437
50830.22594451904	50830.22594451904	50830.22594451904	50830.22594451904	50830.22594451904
51233.198165893555	51233.198165893555	51233.198165893555	51233.198165893555	51233.198165893555
51637.136936187744	51637.136936187744	51637.136936187744	51637.136936187744	51637.136936187744
52043.049335479736	52043.049335479736	52043.049335479736	52043.049335479736	52043.049335479736
52446.72179222107	52446.72179222107	52446.72179222107	52446.72179222107	52446.72179222107
52850.91805458069	52850.91805458069	52850.91805458069	52850.91805458069	52850.91805458069
53255.60283660889	53255.60283660889	53255.60283660889	53255.60283660889	53255.60283660889
53657.77397155762	53657.77397155762	53657.77397155762	53657.77397155762	53657.77397155762
54061.73896789551	54061.73896789551	54061.73896789551	54061.73896789551	54061.73896789551
54468.42980384827	54468.42980384827	54468.42980384827	54468.42980384827	54468.42980384827
54871.904373168945	54871.904373168945	54871.904373168945	54871.904373168945	54871.904373168945
55274.55234527588	55274.55234527588	55274.55234527588	55174.04389381409	55174.04389381409
55679.92854118347	55679.92854118347	55679.92854118347	55679.92854118347	55679.92854118347
56083.25457572937	56083.25457572937	55981.757164001465	55981.757164001465	55981.757164001465
56486.52482032776	56486.52482032776	56486.52482032776	56486.52482032776	56385.75863838196
56889.3883228302	56889.3883228302	56889.3883228302	56889.3883228302	56889.3883228302
57294.08764839172	57294.08764839172	57294.08764839172	57192.503452301025	57192.503452301025
57698.004961013794	57698.004961013794	57597.41973876953	57597.41973876953	57597.41973876953
58101.39536857605	58101.39536857605	58000.70571899414	58000.70571899414	58000.70571899414
58505.96284866333	58505.96284866333	58405.14636039734	58405.14636039734	58405.14636039734
58810.09364128113	58810.09364128113	58810.09364128113	58810.09364128113	58810.09364128113
59212.52346038818	59212.52346038818	59212.52346038818	59212.52346038818	59212.52346038818
59615.803718566895	59615.803718566895	59615.803718566895	59615.803718566895	59615.803718566895
60018.7349319458	60018.7349319458	60018.7349319458	60018.7349319458	60018.7349319458
60423.65121841431	60423.65121841431	60423.65121841431	60423.65121841431	60423.65121841431
60825.46806335449	60825.46806335449	60825.46806335449	60825.46806335449	60825.46806335449
61230.55458068848	61230.55458068848	61230.55458068848	61230.55458068848	61230.55458068848
61635.83755493164	61635.83755493164	61635.83755493164	61635.83755493164	61635.83755493164
62040.33875465393	62040.33875465393	62040.33875465393	62040.33875465393	62040.33875465393
62444.26679611206	62444.26679611206	62444.26679611206	62444.26679611206	62444.26679611206
62846.90308570862	62846.90308570862	62846.90308570862	62846.90308570862	62846.90308570862
63251.51562690735	63251.51562690735	63251.51562690735	63251.51562690735	63251.51562690735
63657.12094306946	63657.12094306946	63657.12094306946	63657.12094306946	63657.12094306946
64061.57565116882	64061.57565116882	64061.57565116882	64061.57565116882	64061.57565116882
64466.527700424194	64466.527700424194	64466.527700424194	64466.527700424194	64466.527700424194
64870.304584503174	64870.304584503174	64870.304584503174	64870.304584503174	64870.304584503174
65274.85275268555	65274.85275268555	65274.85275268555	65173.36368560791	65173.36368560791
65678.42745780945	65678.42745780945	65678.42745780945	65678.42745780945	65678.42745780945
66082.65995979309	66082.65995979309	66082.65995979309	66082.65995979309	66082.65995979309
66489.71366882324	66489.71366882324	66489.71366882324	66489.71366882324	66489.71366882324
66894.45185661316	66894.45185661316	66894.45185661316	66894.45185661316	66894.45185661316
67297.4660396576	67297.4660396576	67297.4660396576	67297.4660396576	67297.4660396576
67702.36158370972	67702.36158370972	67702.36158370972	67702.36158370972	67600.71301460266
68107.27977752686	68107.27977752686	68006.55031204224	68006.55031204224	68006.55031204224
68511.8498802185	68511.8498802185	68511.8498802185	68511.8498802185	68511.8498802185
68916.96047782898	68916.96047782898	68816.22910499573	68816.22910499573	68816.22910499573
69320.53923606873	69320.53923606873	69219.69199180603	69219.69199180603	69219.69199180603
69726.21178627014	69726.21178627014	69624.47619438171	69624.47619438171	69624.47619438171
70029.73747253418	70029.73747253418	70029.73747253418	70029.73747253418	70029.73747253418
70435.11056900024	70435.11056900024	70435.11056900024	70435.11056900024	70435.11056900024
70837.67080307007	70837.67080307007	70837.67080307007	70837.67080307007	70837.67080307007
71241.82271957397	71241.82271957397	71241.82271957397	71241.82271957397	71241.82271957397
71645.6196308136	71645.6196308136	71645.6196308136	71645.6196308136	71645.6196308136
72049.92032051086	72049.92032051086	72049.92032051086	72049.92032051086	72049.92032051086
72453.84645462036	72453.84645462036	72453.84645462036	72453.84645462036	72453.84645462036
72859.05909538269	72859.05909538269	72859.05909538269	72859.05909538269	72859.05909538269
73263.40055465698	73263.40055465698	73263.40055465698	73263.40055465698	73263.40055465698
73666.57447814941	73666.57447814941	73666.57447814941	73666.57447814941	73666.57447814941
74072.99780845642	74072.99780845642	74072.99780845642	74072.99780845642	74072.99780845642
74475.63052177429	74475.63052177429	74475.63052177429	74475.63052177429	74475.63052177429
74882.75384902954	74882.75384902954	74882.75384902954	74882.75384902954	74882.75384902954
75286.4158153534	75286.4158153534	75286.4158153534	75286.4158153534	75286.4158153534
75689.49222564697	75689.49222564697	75689.49222564697	75689.49222564697	75689.49222564697
76094.7515964508	76094.7515964508	76094.7515964508	76094.7515964508	76094.7515964508
76498.31199645996	76498.31199645996	76498.31199645996	76498.31199645996	76498.31199645996
76901.56745910645	76901.56745910645	76901.56745910645	76901.56745910645	76901.56745910645
77305.92679977417	77305.92679977417	77305.92679977417	77305.92679977417	77204.84852790833
77710.94512939453	77710.94512939453	77710.94512939453	77710.94512939453	77710.94512939453
78114.86053466797	78114.86053466797	78114.86053466797	78114.86053466797	78114.86053466797
78519.7741985321	78519.7741985321	78519.7741985321	78519.7741985321	78519.7741985321
78924.69000816345	78924.69000816345	78924.69000816345	78924.69000816345	78924.69000816345
79328.61089706421	79328.61089706421	79328.61089706421	79328.61089706421	79328.61089706421
79733.52813720703	79733.52813720703	79733.52813720703	79733.52813720703	79733.52813720703
80137.44592666626	80137.44592666626	80137.44592666626	80036.71717643738	80036.71717643738
80542.36316680908	80542.36316680908	80542.36316680908	80440.63639640808	80440.63639640808
80947.28016853333	80947.28016853333	80846.55117988586	80846.55117988586	80846.55117988586
81351.20177268982	81351.20177268982	81249.47261810303	81249.47261810303	81249.47261810303
81754.12392616272	81754.12392616272	81653.42354774475	81653.42354774475	81653.42354774475
82059.3068599701	82059.3068599701	82059.3068599701	82059.3068599701	82059.3068599701
82465.22092819214	82465.22092819214	82465.22092819214	82465.22092819214	82465.22092819214
82871.13952636719	82871.13952636719	82871.13952636719	82871.13952636719	82871.13952636719
83276.05175971985	83276.05175971985	83276.05175971985	83276.05175971985	83276.05175971985
83680.96899986267	83680.96899986267	83680.96899986267	83680.96899986267	83680.96899986267
84085.88886260986	84085.88886260986	84085.88886260986	84085.88886260986	84085.88886260986
84491.80030822754	84491.80030822754	84491.80030822754	84491.80030822754	84491.80030822754
84896.71730995178	84896.71730995178	84896.71730995178	84896.71730995178	84896.71730995178
85300.64392089844	85300.64392089844	85300.64392089844	85300.64392089844	85300.64392089844
85705.55543899536	85705.55543899536	85705.55543899536	85705.55543899536	85705.55543899536
86109.47370529175	86109.47370529175	86109.47370529175	86109.47370529175	86109.47370529175
86515.38968086243	86515.38968086243	86515.38968086243	86515.38968086243	86515.38968086243
86921.30446434021	86921.30446434021	86921.30446434021	86921.30446434021	86921.30446434021
87325.22225379944	87325.22225379944	87325.22225379944	87325.22225379944	87325.22225379944
87730.13949394226	87730.13949394226	87730.13949394226	87730.13949394226	87730.13949394226
88135.05673408508	88135.05673408508	88135.05673408508	88135.05673408508	88135.05673408508
88540.97175598145	88540.97175598145	88540.97175598145	88540.97175598145	88540.97175598145
88945.88875770569	88945.88875770569	88945.88875770569	88945.88875770569	88945.88875770569
89349.81060028076	89349.81060028076	89349.81060028076	89349.81060028076	89349.81060028076
89752.73084640503	89752.73084640503	89752.73084640503	89752.73084640503	89752.73084640503
90157.6464176178	90157.6464176178	90157.6464176178	90157.6464176178	90157.6464176178
90561.5668296814	90561.5668296814	90561.5668296814	90561.5668296814	90459.84029769897
90967.48280525208	90967.48280525208	90967.48280525208	90865.75651168823	90865.75651168823
91371.40107154846	91371.40107154846	91270.67112922668	91270.67112922668	91270.67112922668
91777.31490135193	91777.31490135193	91675.61674118042	91675.61674118042	91675.61674118042
92081.50172233582	92081.50172233582	92081.50172233582	92081.50172233582	92081.50172233582
92486.41920089722	92486.41920089722	92486.41920089722	92486.41920089722	92486.41920089722
92892.33350753784	92892.33350753784	92892.33350753784	92892.33350753784	92892.33350753784
93296.25391960144	93296.25391960144	93296.25391960144	93296.25391960144	93296.25391960144
93701.16972923279	93701.16972923279	93701.16972923279	93701.16972923279	93701.16972923279
94106.0860157013	94106.0860157013	94106.0860157013	94106.0860157013	94106.0860157013
94511.00420951843	94511.00420951843	94511.00420951843	94511.00420951843	94511.00420951843
94914.92676734924	94914.92676734924	94914.92676734924	94914.92676734924	94914.92676734924
95320.83916664124	95320.83916664124	95320.83916664124	95320.83916664124	95320.83916664124
95723.78945350647	95723.78945350647	95723.78945350647	95723.78945350647	95723.78945350647
96128.67665290833	96128.67665290833	96128.67665290833	96128.67665290833	96128.67665290833
96533.59699249268	96533.59699249268	96533.59699249268	96533.59699249268	96533.59699249268
96937.51335144043	96937.51335144043	96937.51335144043	96937.51335144043	96937.51335144043
97342.43178367615	97342.43178367615	97342.43178367615	97342.43178367615	97342.43178367615
97748.34632873535	97748.34632873535	97748.34632873535	97748.34632873535	97748.34632873535
98154.25992012024	98154.25992012024	98154.25992012024	98154.25992012024	98154.25992012024
98559.1778755188	98559.1778755188	98559.1778755188	98559.1778755188	98559.1778755188
98964.10012245178	98964.10012245178	98964.10012245178	98964.10012245178	98964.10012245178
99368.01552772522	99368.01552772522	99368.01552772522	99368.01552772522	99368.01552772522
99773.92840385437	99773.92840385437	99773.92840385437	99773.92840385437	99773.92840385437
100179.84127998352	100179.84127998352	100179.84127998352	100179.84127998352	100179.84127998352
100584.76090431213	100584.76090431213	100584.76090431213	100584.76090431213	100483.03198814392
100990.6759262085	100990.6759262085	100990.6759262085	100888.9479637146	100888.9479637146
101397.58610725403	101397.58610725403	101295.8595752716	101295.8595752716	101295.8595752716
101700.77967643738	101700.77967643738	101700.77967643738	101700.77967643738	101700.77967643738
102104.15005683899	102104.15005683899	102104.15005683899	102104.15005683899	102104.15005683899
102508.80336761475	102508.80336761475	102508.80336761475	102508.80336761475	102508.80336761475
102912.41359710693	102912.41359710693	102912.41359710693	102912.41359710693	102912.41359710693
103319.44632530212	103319.44632530212	103319.44632530212	103319.44632530212	103319.44632530212
103724.37739372253	103724.37739372253	103724.37739372253	103724.37739372253	103724.37739372253
104130.39994239807	104130.39994239807	104130.39994239807	104130.39994239807	104130.39994239807
104534.51347351074	104534.51347351074	104534.51347351074	104534.51347351074	104534.51347351074
104937.85667419434	104937.85667419434	104937.85667419434	104937.85667419434	104937.85667419434
105341.8505191803	105341.8505191803	105341.8505191803	105341.8505191803	105341.8505191803
105744.952917099	105744.952917099	105744.952917099	105744.952917099	105744.952917099
106147.57943153381	106147.57943153381	106147.57943153381	106147.57943153381	106147.57943153381
106553.39169502258	106553.39169502258	106553.39169502258	106553.39169502258	106553.39169502258
106960.49785614014	106960.49785614014	106960.49785614014	106960.49785614014	106960.49785614014
107362.23006248474	107362.23006248474	107362.23006248474	107362.23006248474	107362.23006248474
107765.44570922852	107765.44570922852	107765.44570922852	107765.44570922852	107765.44570922852
108169.5647239685	108169.5647239685	108169.5647239685	108169.5647239685	108169.5647239685
108573.70162010193	108573.70162010193	108573.70162010193	108573.70162010193	108573.70162010193
108980.03602027893	108980.03602027893	108980.03602027893	108980.03602027893	108980.03602027893
109387.17579841614	109387.17579841614	109387.17579841614	109387.17579841614	109387.17579841614
109793.07627677917	109793.07627677917	109793.07627677917	109793.07627677917	109793.07627677917
110198.03190231323	110198.03190231323	110198.03190231323	110198.03190231323	110198.03190231323
110600.44693946838	110600.44693946838	110600.44693946838	110600.44693946838	110499.49955940247
111004.33039665222	111004.33039665222	111004.33039665222	110902.41503715515	110902.41503715515
111408.84184837341	111408.84184837341	111307.20829963684	111307.20829963684	111307.20829963684
111813.76028060913	111813.76028060913	111712.03184127808	111712.03184127808	111712.03184127808
112216.94684028625	112216.94684028625	112116.20783805847	112116.20783805847	112116.20783805847
112621.45018577576	112621.45018577576	112519.95038986206	112519.95038986206	112519.95038986206
112925.6329536438	112925.6329536438	112925.6329536438	112925.6329536438	112925.6329536438
113331.75301551819	113331.75301551819	113331.75301551819	113331.75301551819	113331.75301551819
113737.17188835144	113737.17188835144	113737.17188835144	113737.17188835144	113737.17188835144
114142.80366897583	114142.80366897583	114142.80366897583	114142.80366897583	114142.80366897583
114547.71280288696	114547.71280288696	114547.71280288696	114547.71280288696	114547.71280288696
114953.84645462036	114953.84645462036	114953.84645462036	114953.84645462036	114953.84645462036
115357.27977752686	115357.27977752686	115357.27977752686	115357.27977752686	115357.27977752686
115759.3195438385	115759.3195438385	115759.3195438385	115759.3195438385	115759.3195438385
116162.71543502808	116162.71543502808	116162.71543502808	116162.71543502808	116162.71543502808
116565.54007530212	116565.54007530212	116565.54007530212	116565.54007530212	116565.54007530212
116967.66138076782	116967.66138076782	116967.66138076782	116967.66138076782	116967.66138076782
117373.7280368805	117373.7280368805	117373.7280368805	117373.7280368805	117373.7280368805
117778.27978134155	117778.27978134155	117778.27978134155	117778.27978134155	117778.27978134155
118181.81252479553	118181.81252479553	118181.81252479553	118181.81252479553	118181.81252479553
118584.65695381165	118584.65695381165	118584.65695381165	118584.65695381165	118584.65695381165
118988.26813697815	118988.26813697815	118988.26813697815	118988.26813697815	118988.26813697815
119393.40734481812	119393.40734481812	119393.40734481812	119393.40734481812	119393.40734481812
119798.18868637085	119798.18868637085	119798.18868637085	119798.18868637085	119798.18868637085
120204.51641082764	120204.51641082764	120102.79107093811	120102.79107093811	120102.79107093811
120607.77401924133	120607.77401924133	120607.77401924133	120507.27677345276	120507.27677345276
121011.69776916504	121011.69776916504	121011.69776916504	121011.69776916504	121011.69776916504
121415.86780548096	121415.86780548096	121415.86780548096	121415.86780548096	121415.86780548096
121819.79417800903	121819.79417800903	121819.79417800903	121819.79417800903	121819.79417800903
122221.80414199829	122221.80414199829	122221.80414199829	122221.80414199829	122221.80414199829
122626.91020965576	122626.91020965576	122626.91020965576	122626.91020965576	122626.91020965576
123030.22074699402	123030.22074699402	123030.22074699402	122929.49795722961	122929.49795722961
123433.58421325684	123433.58421325684	123433.58421325684	123332.85713195801	123332.85713195801
123838.75799179077	123838.75799179077	123737.16831207275	123737.16831207275	123737.16831207275
124141.71266555786	124141.71266555786	124141.71266555786	124141.71266555786	124141.71266555786
124544.9607372284	124544.9607372284	124544.9607372284	124544.9607372284	124544.9607372284
124947.32308387756	124947.32308387756	124947.32308387756	124947.32308387756	124947.32308387756
125352.56433486938	125352.56433486938	125352.56433486938	125352.56433486938	125352.56433486938
125757.48062133789	125757.48062133789	125757.48062133789	125757.48062133789	125757.48062133789
126164.39294815063	126164.39294815063	126164.39294815063	126164.39294815063	126164.39294815063
126567.70730018616	126567.70730018616	126567.70730018616	126567.70730018616	126567.70730018616
126973.68431091309	126973.68431091309	126973.68431091309	126973.68431091309	126973.68431091309
127376.60264968872	127376.60264968872	127376.60264968872	127376.60264968872	127376.60264968872
127778.54800224304	127778.54800224304	127778.54800224304	127778.54800224304	127778.54800224304
128180.81259727478	128180.81259727478	128180.81259727478	128180.81259727478	128180.81259727478
128584.23924446106	128584.23924446106	128584.23924446106	128584.23924446106	128584.23924446106
128987.17951774597	128987.17951774597	128987.17951774597	128987.17951774597	128987.17951774597
129392.30346679688	129392.30346679688	129392.30346679688	129392.30346679688	129392.30346679688
129797.21665382385	129797.21665382385	129797.21665382385	129797.21665382385	129797.21665382385
130202.14056968689	130202.14056968689	130202.14056968689	130202.14056968689	130202.14056968689
130607.48982429504	130607.48982429504	130607.48982429504	130607.48982429504	130607.48982429504
131010.73265075684	131010.73265075684	131010.73265075684	131010.73265075684	131010.73265075684
131416.42212867737	131416.42212867737	131416.42212867737	131314.69559669495	131314.69559669495
131821.41542434692	131821.41542434692	131821.41542434692	131821.41542434692	131821.41542434692
132227.07414627075	132227.07414627075	132227.07414627075	132227.07414627075	132227.07414627075
132631.37030601501	132631.37030601501	132631.37030601501	132631.37030601501	132631.37030601501
133034.91401672363	133034.91401672363	133034.91401672363	133034.91401672363	133034.91401672363
133441.38050079346	133441.38050079346	133441.38050079346	133441.38050079346	133441.38050079346
133845.03984451294	133845.03984451294	133845.03984451294	133845.03984451294	133845.03984451294
134248.9137649536	134248.9137649536	134248.9137649536	134248.9137649536	134148.18477630615
134650.8665084839	134650.8665084839	134550.17638206482	134550.17638206482	134550.17638206482
135054.279088974	135054.279088974	135054.279088974	135054.279088974	135054.279088974
135458.54687690735	135458.54687690735	135458.54687690735	135357.53631591797	135357.53631591797
135862.46824264526	135862.46824264526	135761.59620285034	135761.59620285034	135761.59620285034
136266.09015464783	136266.09015464783	136165.593624115	136165.593624115	136165.593624115
136670.0999736786	136670.0999736786	136568.36676597595	136568.36676597595	136568.36676597595
136973.2015132904	136973.2015132904	136973.2015132904	136973.2015132904	136973.2015132904
137377.31218338013	137377.31218338013	137377.31218338013	137377.31218338013	137377.31218338013
137781.27670288086	137781.27670288086	137781.27670288086	137781.27670288086	137781.27670288086
138187.18814849854	138187.18814849854	138187.18814849854	138187.18814849854	138187.18814849854
138593.10293197632	138593.10293197632	138593.10293197632	138593.10293197632	138593.10293197632
138997.96628952026	138997.96628952026	138997.96628952026	138997.96628952026	138997.96628952026
139400.97570419312	139400.97570419312	139400.97570419312	139400.97570419312	139400.97570419312
139804.669380188	139804.669380188	139804.669380188	139804.669380188	139804.669380188
140208.99558067322	140208.99558067322	140208.99558067322	140208.99558067322	140208.99558067322
140612.8191947937	140612.8191947937	140612.8191947937	140612.8191947937	140612.8191947937
141016.1862373352	141016.1862373352	141016.1862373352	141016.1862373352	141016.1862373352
